(-0.02653, 0.20322, 0.91288)
(-0.02654, 0.20322, 0.91285)
(-0.02701, 0.20304, 0.91206)
(-0.02795, 0.20261, 0.91201)
(-0.02765, 0.20348, 0.91409)
(-0.02767, 0.20347, 0.91410)
(-0.02881, 0.20263, 0.91276)
(-0.02818, 0.20407, 0.91415)
(-0.02813, 0.20254, 0.91355)
(-0.03049, 0.20213, 0.91436)
(-0.02975, 0.20122, 0.91349)
(-0.03391, 0.20052, 0.91631)
(-0.03672, 0.19968, 0.92262)
(-0.04150, 0.19984, 0.92682)
(-0.04245, 0.19929, 0.93174)
(-0.04330, 0.19590, 0.93035)
(-0.04809, 0.19156, 0.92587)
(-0.04777, 0.19139, 0.93074)
(-0.04657, 0.18882, 0.92840)
(-0.04530, 0.19330, 0.93238)
(-0.04584, 0.19458, 0.93231)
(-0.04710, 0.19694, 0.93482)
(-0.04710, 0.19789, 0.93857)
(-0.04674, 0.19913, 0.94356)
(-0.04741, 0.19943, 0.94445)
(-0.04575, 0.20002, 0.94722)
(-0.04631, 0.20034, 0.94782)
(-0.04727, 0.20110, 0.95037)
(-0.04727, 0.20153, 0.95222)
(-0.04728, 0.20153, 0.95221)
(-0.04938, 0.20029, 0.95027)
(-0.04972, 0.19953, 0.94979)
(-0.05017, 0.20023, 0.94938)
(-0.04997, 0.20102, 0.95074)
(-0.04957, 0.20044, 0.95089)
(-0.04957, 0.20042, 0.95082)
(-0.04844, 0.19852, 0.94817)
(-0.04840, 0.19855, 0.94858)
(-0.04780, 0.19848, 0.94889)
(-0.04637, 0.19741, 0.94887)
(-0.04707, 0.19861, 0.94819)
(-0.04671, 0.19834, 0.94825)
(-0.04670, 0.19834, 0.94825)
(-0.04649, 0.19767, 0.94748)
(-0.04645, 0.19771, 0.94749)
(-0.04635, 0.19770, 0.94733)
(-0.04628, 0.19771, 0.94729)
(-0.04628, 0.19771, 0.94729)
(-0.04628, 0.19771, 0.94729)
(-0.04628, 0.19771, 0.94729)
(-0.04628, 0.19771, 0.94729)
(-0.04264, 0.19716, 0.94645)
(-0.04182, 0.19724, 0.94605)
(-0.03787, 0.19740, 0.94531)
(-0.03820, 0.19947, 0.94672)
(-0.03358, 0.19785, 0.94652)
(-0.03123, 0.20011, 0.94937)
(-0.03119, 0.20011, 0.94935)
(-0.02338, 0.20137, 0.95125)
(-0.02251, 0.20078, 0.95238)
(-0.02048, 0.20048, 0.95342)
(-0.01838, 0.20072, 0.95605)
(-0.01818, 0.20068, 0.95600)
(-0.00907, 0.19748, 0.95767)
(-0.00404, 0.19723, 0.95811)
(-0.00329, 0.19723, 0.95811)
(0.00361, 0.19514, 0.95797)
(0.00823, 0.19048, 0.95276)
(0.01453, 0.18887, 0.95286)
(0.01652, 0.18886, 0.95329)
(0.02452, 0.19287, 0.95610)
(0.02515, 0.19281, 0.95604)
(0.02567, 0.19277, 0.95586)
(0.03704, 0.18812, 0.95619)
(0.04072, 0.18625, 0.95888)
(0.04073, 0.18625, 0.95887)
(0.05121, 0.18068, 0.95600)
