(0.05296, 0.20617, 0.68677)
(0.05296, 0.20617, 0.68677)
(0.05076, 0.20754, 0.68838)
(0.05244, 0.20300, 0.69283)
(0.06160, 0.20553, 0.70142)
(0.05480, 0.20213, 0.70532)
(0.04696, 0.19808, 0.71050)
(0.04614, 0.19530, 0.73439)
(0.04156, 0.19602, 0.74813)
(0.04195, 0.19945, 0.77036)
(0.04137, 0.20148, 0.79165)
(0.04851, 0.19669, 0.81194)
(0.05823, 0.21835, 0.84852)
(0.05719, 0.24700, 0.88320)
(0.01765, 0.30778, 0.87869)
(0.06038, 0.28892, 0.95036)
(0.06491, 0.30827, 0.98129)
(0.07785, 0.33861, 1.02693)
(0.08855, 0.38148, 1.08976)
(0.09578, 0.40366, 1.14054)
(0.09879, 0.42935, 1.19686)
(0.10039, 0.46158, 1.25098)
(0.09746, 0.48608, 1.29490)
(0.09945, 0.49934, 1.32836)
(0.09743, 0.53213, 1.36526)
(0.09664, 0.55567, 1.40927)
(0.09123, 0.56942, 1.42570)
(0.10505, 0.58417, 1.42465)
(0.10034, 0.60646, 1.46794)
(0.11223, 0.63083, 1.49566)
(0.09763, 0.62984, 1.50834)
(0.08665, 0.62940, 1.53868)
(0.07160, 0.62995, 1.55242)
(0.05821, 0.63551, 1.57073)
(0.05554, 0.65253, 1.59153)
(0.05354, 0.66643, 1.60065)
(0.06650, 0.68771, 1.61795)
(0.05463, 0.68987, 1.62997)
(0.05423, 0.69160, 1.63184)
(0.05833, 0.70062, 1.65544)
(0.05869, 0.69176, 1.65287)
(0.05181, 0.68846, 1.66731)
(0.04795, 0.68951, 1.67821)
(0.03844, 0.70671, 1.70933)
(0.02679, 0.70148, 1.72178)
(0.01597, 0.69842, 1.73422)
(0.00655, 0.70135, 1.74713)
(-0.00353, 0.70044, 1.75890)
(-0.01944, 0.69313, 1.76598)
(-0.02856, 0.69108, 1.77723)
(-0.03371, 0.69149, 1.78352)
(-0.04630, 0.69281, 1.79272)
(-0.05507, 0.69625, 1.80105)
(-0.06063, 0.70202, 1.80712)
(-0.07116, 0.70678, 1.81558)
(-0.07158, 0.70841, 1.82020)
(-0.07487, 0.70409, 1.82184)
(-0.07051, 0.70527, 1.82636)
(-0.07065, 0.70033, 1.82280)
(-0.06715, 0.69839, 1.82023)
(-0.06263, 0.70014, 1.82029)
(-0.05958, 0.70272, 1.82307)
(-0.05240, 0.69882, 1.81830)
(-0.04512, 0.69674, 1.81517)
(-0.04298, 0.69851, 1.81659)
(-0.03749, 0.69688, 1.81250)
(-0.03499, 0.69811, 1.81104)
(-0.03183, 0.69862, 1.81052)
(-0.02987, 0.69895, 1.81174)
(-0.02983, 0.69874, 1.81221)
(-0.03325, 0.69197, 1.80789)
(-0.03139, 0.69146, 1.80593)
(-0.03228, 0.69379, 1.80815)
(-0.03161, 0.69576, 1.80904)
(-0.02997, 0.69387, 1.80901)
(-0.03084, 0.69486, 1.81045)
(-0.02981, 0.69459, 1.80983)
(-0.02964, 0.69428, 1.80945)
(-0.03202, 0.69408, 1.80887)
(-0.03139, 0.69362, 1.80991)
(-0.03119, 0.69361, 1.81038)
(-0.03153, 0.69378, 1.81066)
(-0.03156, 0.69379, 1.81068)
(-0.03378, 0.69350, 1.81197)
(-0.03417, 0.69346, 1.81224)
(-0.03356, 0.69333, 1.81358)
(-0.03346, 0.69329, 1.81319)
(-0.03349, 0.69330, 1.81322)
(-0.03349, 0.69330, 1.81323)
(-0.03350, 0.69330, 1.81323)
(-0.03350, 0.69330, 1.81323)
(-0.03350, 0.69330, 1.81323)
(-0.03350, 0.69330, 1.81323)
(-0.03350, 0.69330, 1.81323)
(-0.03765, 0.69387, 1.81576)
(-0.03736, 0.69386, 1.81588)
(-0.03673, 0.69355, 1.81626)
(-0.03670, 0.69343, 1.81595)
(-0.03695, 0.69349, 1.81605)
(-0.03818, 0.69389, 1.81590)
(-0.03774, 0.69453, 1.81656)
(-0.03668, 0.69467, 1.81682)
(-0.03743, 0.69498, 1.81664)
(-0.03616, 0.69443, 1.81661)
(-0.03922, 0.69743, 1.81925)
(-0.03734, 0.69542, 1.81591)
(-0.03699, 0.69468, 1.81650)
(-0.03695, 0.69464, 1.81641)
(-0.03907, 0.69484, 1.81704)
(-0.03876, 0.69563, 1.81736)
(-0.03876, 0.69563, 1.81736)
(-0.03876, 0.69563, 1.81736)
(-0.03725, 0.69384, 1.81969)
(-0.03792, 0.69552, 1.81985)
(-0.03915, 0.69549, 1.81984)
(-0.03760, 0.69536, 1.81846)
(-0.03776, 0.69509, 1.81867)
(-0.03950, 0.69510, 1.81841)
(-0.03767, 0.69553, 1.81706)
(-0.03891, 0.69502, 1.81808)
(-0.03959, 0.69538, 1.81704)
(-0.03924, 0.69430, 1.81783)
(-0.03879, 0.69460, 1.81789)
(-0.03822, 0.69529, 1.81818)
(-0.03827, 0.69533, 1.81847)
(-0.03884, 0.69511, 1.81911)
(-0.03888, 0.69510, 1.81920)
(-0.03888, 0.69510, 1.81920)
(-0.03943, 0.69472, 1.81803)
(-0.03946, 0.69472, 1.81798)
(-0.03855, 0.69517, 1.81810)
(-0.03889, 0.69457, 1.81954)
(-0.03887, 0.69495, 1.81877)
(-0.03924, 0.69522, 1.81995)
(-0.03924, 0.69522, 1.81995)
(-0.03934, 0.69590, 1.81942)
(-0.04212, 0.69886, 1.82209)
(-0.04238, 0.69779, 1.82097)
